chemistry,c_rate,peukert_k,nominal_capacity_ah,effective_capacity_ah,effective_capacity_pct,inverter_tare_loss_w,load_power_w,autonomy_hours_ideal,autonomy_hours_real,autonomy_loss_pct
Lead-Acid AGM,0.05,1.25,100.0,100.0,100.0,35.0,50.0,24.0,14.1,41.2
Lead-Acid AGM,0.10,1.25,100.0,91.7,91.7,35.0,50.0,22.0,12.9,41.4
Lead-Acid AGM,0.20,1.25,100.0,82.4,82.4,35.0,50.0,19.8,11.6,41.4
Lead-Acid AGM,0.50,1.25,100.0,68.1,68.1,35.0,50.0,16.3,9.6,41.1
Lead-Acid AGM,1.00,1.25,100.0,57.4,57.4,35.0,50.0,13.8,8.1,41.3
Lead-Acid Flooded,0.05,1.30,100.0,100.0,100.0,35.0,50.0,24.0,14.1,41.2
Lead-Acid Flooded,0.20,1.30,100.0,79.4,79.4,35.0,50.0,19.1,11.2,41.4
Lead-Acid Flooded,0.50,1.30,100.0,62.1,62.1,35.0,50.0,14.9,8.8,40.9
Lead-Acid Flooded,1.00,1.30,100.0,49.8,49.8,35.0,50.0,12.0,7.0,41.7
LiFePO4,0.05,1.04,100.0,100.0,100.0,35.0,50.0,24.0,14.1,41.2
LiFePO4,0.10,1.04,100.0,99.6,99.6,35.0,50.0,23.9,14.1,41.0
LiFePO4,0.20,1.04,100.0,99.2,99.2,35.0,50.0,23.8,14.0,41.2
LiFePO4,0.50,1.04,100.0,97.8,97.8,35.0,50.0,23.5,13.8,41.3
LiFePO4,1.00,1.04,100.0,95.8,95.8,35.0,50.0,23.0,13.5,41.3
LiFePO4,2.00,1.04,100.0,93.4,93.4,35.0,50.0,22.4,13.2,41.1
