system_id,system_type,nominal_cooling_tons,capacity_btu_per_hr,rated_seer,rated_seer2,rated_eer2_at_95f,compressor_stage_type,rated_airflow_cfm,electrical_watts_at_95f,hourly_kwh_full_load,annual_cooling_hours_moderate,annual_kwh_moderate,annual_cost_usd_at_16c_moderate,annual_cooling_hours_hot_south,annual_kwh_hot_south,annual_cost_usd_at_16c_hot_south,carbon_emissions_lbs_moderate
ac_1_5t_seer10,Central_AC,1.5,18000,10.0,9.5,8.2,Single_Stage,600,2195,2.195,1200,2634,421.44,2100,4609,737.52,2239
ac_1_5t_seer14,Central_AC,1.5,18000,14.0,13.4,11.2,Single_Stage,600,1607,1.607,1200,1928,308.54,2100,3375,540.00,1639
ac_1_5t_seer2_16,Central_AC,1.5,18000,16.8,16.0,12.5,Two_Stage,600,1440,1.440,1200,1728,276.48,2100,3024,483.84,1469
ac_2_0t_seer10,Central_AC,2.0,24000,10.0,9.5,8.2,Single_Stage,800,2927,2.927,1200,3512,561.92,2100,6146,983.36,2985
ac_2_0t_seer14,Central_AC,2.0,24000,14.0,13.4,11.2,Single_Stage,800,2143,2.143,1200,2571,411.36,2100,4500,720.00,2185
ac_2_0t_seer2_15_2,Central_AC,2.0,24000,16.0,15.2,12.0,Single_Stage,800,2000,2.000,1200,2400,384.00,2100,4200,672.00,2040
ac_2_0t_seer2_20,Central_AC,2.0,24000,21.0,20.0,13.8,Variable_Inverter,800,1739,1.739,1200,2087,333.92,2100,3652,584.32,1774
ac_2_5t_seer10,Central_AC,2.5,30000,10.0,9.5,8.2,Single_Stage,1000,3658,3.658,1200,4390,702.40,2100,7682,1229.12,3731
ac_2_5t_seer14,Central_AC,2.5,30000,14.0,13.4,11.2,Single_Stage,1000,2678,2.678,1200,3214,514.24,2100,5624,899.84,2732
ac_2_5t_seer2_16,Central_AC,2.5,30000,16.8,16.0,12.5,Two_Stage,1000,2400,2.400,1200,2880,460.80,2100,5040,806.40,2448
ac_3_0t_seer10,Central_AC,3.0,36000,10.0,9.5,8.2,Single_Stage,1200,4390,4.390,1200,5268,842.88,2100,9219,1475.04,4478
ac_3_0t_seer13,Central_AC,3.0,36000,13.0,12.4,10.5,Single_Stage,1200,3428,3.428,1200,4114,658.24,2100,7199,1151.84,3497
ac_3_0t_seer2_14_3,Central_AC,3.0,36000,15.0,14.3,11.7,Single_Stage,1200,3077,3.077,1200,3692,590.72,2100,6462,1033.92,3138
ac_3_0t_seer2_18,Central_AC,3.0,36000,19.0,18.0,13.2,Two_Stage,1200,2727,2.727,1200,3272,523.52,2100,5727,916.32,2781
ac_3_0t_seer2_22,Central_AC,3.0,36000,23.0,22.0,14.5,Variable_Inverter,1200,2483,2.483,1200,2980,476.80,2100,5214,834.24,2533
ac_3_5t_seer10,Central_AC,3.5,42000,10.0,9.5,8.2,Single_Stage,1400,5122,5.122,1200,6146,983.36,2100,10756,1720.96,5224
ac_3_5t_seer2_14_3,Central_AC,3.5,42000,15.0,14.3,11.7,Single_Stage,1400,3590,3.590,1200,4308,689.28,2100,7539,1206.24,3662
ac_3_5t_seer2_18,Central_AC,3.5,42000,19.0,18.0,13.2,Two_Stage,1400,3182,3.182,1200,3818,610.88,2100,6682,1069.12,3245
ac_4_0t_seer10,Central_AC,4.0,48000,10.0,9.5,8.2,Single_Stage,1600,5854,5.854,1200,7025,1124.00,2100,12293,1966.88,5971
ac_4_0t_seer14,Central_AC,4.0,48000,14.0,13.4,11.2,Single_Stage,1600,4286,4.286,1200,5143,822.88,2100,9000,1440.00,4371
ac_4_0t_seer2_15_2,Central_AC,4.0,48000,16.0,15.2,12.0,Two_Stage,1600,4000,4.000,1200,4800,768.00,2100,8400,1344.00,4080
ac_4_0t_seer2_20,Central_AC,4.0,48000,21.0,20.0,13.8,Variable_Inverter,1600,3478,3.478,1200,4174,667.84,2100,7304,1168.64,3548
ac_5_0t_seer10,Central_AC,5.0,60000,10.0,9.5,8.2,Single_Stage,2000,7317,7.317,1200,8780,1404.80,2100,15366,2458.56,7463
ac_5_0t_seer14,Central_AC,5.0,60000,14.0,13.4,11.2,Single_Stage,2000,5357,5.357,1200,6428,1028.48,2100,11250,1800.00,5464
ac_5_0t_seer2_15_2,Central_AC,5.0,60000,16.0,15.2,12.0,Two_Stage,2000,5000,5.000,1200,6000,960.00,2100,10500,1680.00,5100
ac_5_0t_seer2_20,Central_AC,5.0,60000,21.0,20.0,13.8,Variable_Inverter,2000,4348,4.348,1200,5217,834.72,2100,9131,1460.96,4434
