outdoor_ambient_temp_f,outdoor_ambient_temp_c,compressor_cop_nominal,defrost_penalty_factor,effective_compressor_cop,capacity_retention_pct,delivered_heat_btu_hr,building_heat_loss_btu_hr,thermal_deficit_btu_hr,auxiliary_heat_kw,compressor_power_kw,total_electrical_load_kw,combined_system_cop
-25,-31.7,1.15,1.000,1.150,0.350,12600,47500,34900,10.23,3.21,13.44,1.04
-20,-28.9,1.21,1.000,1.210,0.385,13860,45000,31140,9.13,3.36,12.49,1.06
-15,-26.1,1.36,1.000,1.360,0.440,15840,42500,26660,7.81,3.41,11.22,1.11
-10,-23.3,1.54,1.000,1.540,0.505,18180,40000,21820,6.40,3.46,9.86,1.19
-5,-20.6,1.74,1.000,1.740,0.580,20880,37500,16620,4.87,3.52,8.39,1.31
0,-17.8,1.96,1.000,1.960,0.665,23940,35000,11060,3.24,3.58,6.82,1.50
5,-15.0,2.20,1.000,2.200,0.760,27360,32500,5140,1.51,3.64,5.15,1.85
10,-12.2,2.46,1.000,2.460,0.865,31140,30000,0,0.00,3.57,3.57,2.46
15,-9.4,2.74,0.985,2.699,0.980,34749,27500,0,0.00,2.99,2.99,2.70
20,-6.7,3.03,0.942,2.854,1.000,33912,25000,0,0.00,2.57,2.57,2.85
25,-3.9,3.34,0.893,2.983,1.000,32148,22500,0,0.00,2.21,2.21,2.98
30,-1.1,3.65,0.880,3.212,1.000,31680,20000,0,0.00,1.82,1.82,3.21
35,1.7,3.97,0.903,3.585,1.000,32508,17500,0,0.00,1.43,1.43,3.58
40,4.4,4.29,0.957,4.106,1.000,34452,15000,0,0.00,1.07,1.07,4.11
45,7.2,4.60,0.995,4.577,1.000,35820,12500,0,0.00,0.80,0.80,4.58
47,8.3,4.72,1.000,4.720,1.000,36000,11500,0,0.00,0.71,0.71,4.72
50,10.0,4.89,1.000,4.890,1.000,36000,10000,0,0.00,0.60,0.60,4.89
55,12.8,5.16,1.000,5.160,1.000,36000,7500,0,0.00,0.43,0.43,5.16
60,15.6,5.39,1.000,5.390,1.000,36000,5000,0,0.00,0.27,0.27,5.39
65,18.3,5.58,1.000,5.580,1.000,36000,2500,0,0.00,0.13,0.13,5.58
