appliance_id,equipment_name,equipment_category,nominal_hp,voltage_v,nema_code_letter,kva_per_hp_range,running_fla_amps,running_watts,lra_starting_amps,inrush_multiplier,peak_starting_watts,inductive_surge_delta_watts,soft_start_mitigated_lra_amps,soft_start_peak_watts,min_recommended_generator_continuous_w,min_recommended_generator_surge_w
ac_central_2_5_ton,"2.5-Ton Central AC Compressor",HVAC,2.5,240,G,5.6-6.29,11.2,2688,58.0,5.18,13920,11232,18.5,4440,3500,14000
ac_central_3_0_ton,"3.0-Ton Central AC Compressor",HVAC,3.0,240,G,5.6-6.29,13.4,3216,71.0,5.30,17040,13824,22.7,5448,4500,17500
ac_central_3_5_ton,"3.5-Ton Central AC Compressor",HVAC,3.5,240,G,5.6-6.29,15.2,3648,79.0,5.20,18960,15312,25.3,6072,5000,19000
ac_central_4_0_ton,"4.0-Ton Central AC Compressor",HVAC,4.0,240,H,6.3-7.09,17.9,4296,96.0,5.36,23040,18744,30.7,7368,6000,23500
ac_central_5_0_ton,"5.0-Ton Central AC Compressor",HVAC,5.0,240,H,6.3-7.09,21.8,5232,118.0,5.41,28320,23088,37.8,9072,7500,28500
heat_pump_3_ton,"3.0-Ton ccASHP Compressor",HVAC,3.0,240,H,6.3-7.09,14.1,3384,77.0,5.46,18480,15096,24.6,5904,4500,18500
heat_pump_4_ton,"4.0-Ton ccASHP Compressor",HVAC,4.0,240,H,6.3-7.09,18.5,4440,102.0,5.51,24480,20040,32.6,7824,6000,25000
well_pump_0_5_hp,"0.5 HP Deep Well Submersible Pump",Water_Pumping,0.5,240,J,7.1-7.99,4.9,1176,28.0,5.71,6720,5544,11.2,2688,2000,7000
well_pump_1_0_hp,"1.0 HP Deep Well Submersible Pump",Water_Pumping,1.0,240,J,7.1-7.99,8.2,1968,46.0,5.61,11040,9072,18.4,4416,2800,11500
well_pump_1_5_hp,"1.5 HP Deep Well Submersible Pump",Water_Pumping,1.5,240,J,7.1-7.99,11.5,2760,64.0,5.57,15360,12600,25.6,6144,3800,15500
sump_pump_0_33_hp,"1/3 HP Submersible Sump Pump",Drainage,0.33,120,L,9.0-9.99,6.5,780,32.0,4.92,3840,3060,14.0,1680,1200,4000
sump_pump_0_5_hp,"1/2 HP Submersible Sump Pump",Drainage,0.5,120,L,9.0-9.99,9.8,1176,48.0,4.90,5760,4584,20.0,2400,1800,6000
air_compressor_2_hp,"2.0 HP Workshop Air Compressor",Pneumatic,2.0,120,G,5.6-6.29,15.0,1800,85.0,5.67,10200,8400,34.0,4080,2500,10500
refrigerator_residential,"25 cu ft Residential Refrigerator",Refrigeration,0.25,120,K,8.0-8.99,2.5,300,12.5,5.00,1500,1200,6.0,720,600,1600
freezer_chest,"15 cu ft Chest Freezer",Refrigeration,0.2,120,K,8.0-8.99,1.8,216,9.5,5.28,1140,924,4.5,540,500,1200
table_saw_1_75_hp,"1.75 HP Contractor Table Saw",Machinery,1.75,120,H,6.3-7.09,14.0,1680,75.0,5.36,9000,7320,30.0,3600,2400,9500
furnace_blower_0_5_hp,"1/2 HP ECM/PSC Furnace Blower",HVAC,0.5,120,J,7.1-7.99,7.2,864,36.0,5.00,4320,3456,15.0,1800,1200,4500
pool_pump_1_5_hp,"1.5 HP Single-Speed In-Ground Pool Pump",Recreation,1.5,240,H,6.3-7.09,9.5,2280,54.0,5.68,12960,10680,21.6,5184,3200,13500
