chemistry,cycles_efc,dod_pct,ambient_temp_c,ambient_temp_f,capacity_retention_pct,internal_resistance_growth_ratio,annual_calendar_fade_pct,operational_status
LiFePO4,500,80.0,25.0,77.0,98.2,1.03,1.05,Active
LiFePO4,1000,80.0,25.0,77.0,96.2,1.06,1.05,Active
LiFePO4,1500,80.0,25.0,77.0,94.3,1.10,1.05,Active
LiFePO4,2000,80.0,25.0,77.0,92.4,1.14,1.05,Active
LiFePO4,2500,80.0,25.0,77.0,90.5,1.18,1.05,Active
LiFePO4,3000,80.0,25.0,77.0,88.5,1.22,1.05,Active
LiFePO4,3500,80.0,25.0,77.0,86.7,1.26,1.05,Active
LiFePO4,4000,80.0,25.0,77.0,84.9,1.30,1.05,Active
LiFePO4,4500,80.0,25.0,77.0,83.1,1.34,1.05,Active
LiFePO4,5000,80.0,25.0,77.0,81.4,1.38,1.05,Active
LiFePO4,5500,80.0,25.0,77.0,79.6,1.43,1.05,Sub-80% EOL
LiFePO4,6000,80.0,25.0,77.0,77.8,1.48,1.05,Sub-80% EOL
LiFePO4,3000,100.0,25.0,77.0,84.1,1.31,1.05,Active
LiFePO4,3000,50.0,25.0,77.0,92.8,1.13,1.05,Active
LiFePO4,3000,80.0,-10.0,14.0,74.5,1.82,0.40,Cold Derated / Plating Hazard
LiFePO4,3000,80.0,0.0,32.0,80.2,1.55,0.70,Cold Derated
LiFePO4,3000,80.0,35.0,95.0,85.3,1.28,1.80,Thermal Acceleration
LiFePO4,3000,80.0,45.0,113.0,82.1,1.34,2.80,Severe Thermal Stress
NMC,500,80.0,25.0,77.0,95.6,1.07,1.40,Active
NMC,1000,80.0,25.0,77.0,91.8,1.15,1.40,Active
NMC,1500,80.0,25.0,77.0,87.1,1.25,1.40,Active
NMC,2000,80.0,25.0,77.0,82.4,1.36,1.40,Active
NMC,2500,80.0,25.0,77.0,77.9,1.48,1.40,Sub-80% EOL
NMC,3000,80.0,25.0,77.0,73.1,1.62,1.40,Sub-80% EOL
NMC,2000,100.0,25.0,77.0,76.5,1.52,1.80,Sub-80% EOL
NMC,2000,50.0,25.0,77.0,87.6,1.24,1.10,Active
NMC,2000,80.0,-10.0,14.0,72.0,1.95,0.50,Cold Derated
NMC,2000,80.0,0.0,32.0,77.8,1.60,0.85,Cold Derated
NMC,2000,80.0,35.0,95.0,78.2,1.45,2.60,Sub-80% EOL
NMC,2000,80.0,45.0,113.0,73.5,1.60,3.90,Sub-80% EOL
